ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,JOB,BEGIN_MONTHS,STATUS,TARGET
5022428,F,N,Y,No children,90000,Secondary,Civil marriage,House / apartment,-16569,-517,1,0,0,0,Laborers,-38,2,1
5092251,M,Y,Y,No children,112500,Secondary / secondary special,Married,House / apartment,-17300,-1235,1,0,0,0,Drivers,-44,2,1
5029719,Female,Y,Y,1 children,265500,Higher education,Married,With parents,-10998,-2514,1,0,0,0,Accountants,-9,2,1
5115608,F,N,Y,No children,202500,Secondary / secondary special,Married,House / apartment,-14523,-3420,1,0,0,0,Core staff,-16,5,1
5018498,F,Y,Y,No children,90000,Secondary / secondary special,Married,House / apartment,-18950,-1002,1,1,1,0,Cooking staff,-35,5,1
5143179,M,Y,N,No children,225000,Secondary,Single,House / apartment,-17473,-2631,1,0,0,0,Managers,-7,3,1
5096527,F,N,N,No children,135000,Secondary / secondary special,Widow,Co-op apartment,-20012,-584,1,0,0,0,Core staff,-34,5,1
5126463,F,Y,N,No children,112500,Secondary / secondary special,Separated,House / apartment,-17641,-10454,1,1,1,0,Medicine staff,-22,2,1
5018501,F,Y,Y,No children,90000,Secondary / secondary special,Married,House / apartment,-18950,-1002,1,1,1,0,Cooking staff,-10,5,1
5085886,M,Y,Y,No children,315000,Higher education,Married,House / apartment,-18661,-1265,1,0,0,0,Managers,-27,5,1
5021310,M,N,Y,No children,270000,Secondary / secondary special,Married,House / apartment,-16896,-248,1,0,0,0,Laborers,-30,4,1
5036795,M,Y,Y,No children,215100,Secondary / secondary special,Married,House / apartment,-19175,-1285,1,0,1,0,Laborers,-10,5,1
5142183,M,Y,Y,2+ children,450000,Higher education,Married,House / apartment,-17841,-4305,1,1,1,0,Managers,-49,2,1
5135346,M,N,Y,No children,112500,Higher education,Married,House / apartment,-20103,-555,1,0,0,0,Security staff,-22,5,1
5135344,M,N,Y,No children,112500,Higher education,Married,House / apartment,-20103,-555,1,0,0,0,Security staff,-4,5,1
5033453,F,N,N,No children,135000,Higher education,Single / not married,House / apartment,-10749,-2394,1,0,0,0,Laborers,0,5,1
5041175,Female,N,Y,1 children,180000,Incomplete higher,Married,Municipal apartment,-10754,-65,1,1,1,0,Core staff,-13,4,1
5135344,M,N,Y,No children,112500,Higher education,Married,House / apartment,-20103,-555,1,0,0,0,Security staff,-28,5,1
5021310,M,N,Y,No children,270000,Secondary / secondary special,Married,House / apartment,-16896,-248,1,0,0,0,Laborers,-35,2,1
5097145,M,Y,N,1 children,405000,Secondary / secondary special,Married,House / apartment,-14740,-1434,1,0,1,0,Managers,0,5,1
5090214,M,Y,Y,No children,135000,Secondary / secondary special,Married,House / apartment,-10712,-217,1,0,0,0,Laborers,-9,3,1
5054649,M,Y,Y,1 children,135000,Higher education,Married,House / apartment,-18631,-6359,1,0,0,0,Managers,-9,2,1
5149188,M,Y,N,1 children,450000,Higher education,Married,House / apartment,-9847,-502,1,0,1,1,Core staff,-24,5,1
5038807,M,Y,Y,No children,202500,Higher education,Married,House / apartment,-12658,-5374,1,0,0,1,Laborers,-11,5,1
5023963,M,N,Y,2+ children,90000,Secondary / secondary special,Married,House / apartment,-12681,-1677,1,0,0,0,Core staff,-38,2,1
5033514,F,Y,N,1 children,135000,Secondary / secondary special,Married,House / apartment,-15952,-384,1,1,0,0,Sales staff,-7,3,1
5033453,F,N,N,No children,135000,Higher education,Single / not married,House / apartment,-10749,-2394,1,0,0,0,Laborers,-6,2,1
5024069,M,Y,Y,No children,292500,Secondary / secondary special,Single / not married,With parents,-9786,-2559,1,0,1,0,Laborers,-3,2,1
5078820,F,N,N,2+ children,225000,Secondary / secondary special,Married,House / apartment,-14476,-4987,1,0,0,0,High skill tech staff,-20,5,1
5125716,F,Y,Y,No children,135000,Lower secondary,Married,House / apartment,-16413,-622,1,0,1,0,High skill tech staff,-3,5,1
5105190,M,N,Y,No children,315000,Higher education,Single / not married,House / apartment,-10499,-545,1,0,0,1,Laborers,-26,4,1
5135345,M,N,Y,No children,112500,Higher education,Married,House / apartment,-20103,-555,1,0,0,0,Security staff,-6,5,1
5090433,M,Y,Y,No children,427500,Secondary / secondary special,Civil marriage,House / apartment,-19894,-1229,1,0,0,0,Managers,-25,2,1
5135346,M,N,Y,No children,112500,Higher education,Married,House / apartment,-20103,-555,1,0,0,0,Security staff,-30,5,1
5046324,F,N,Y,1 children,157500,Secondary / secondary special,Single / not married,House / apartment,-15466,-2269,1,0,1,0,Low-skill Laborers,-33,5,1
5047662,F,N,Y,1 children,67500,Secondary / secondary special,Married,House / apartment,-18880,-4114,1,0,0,0,Accountants,-26,3,1
5116035,M,Y,Y,No children,126000,Higher education,Single / not married,House / apartment,-14522,-863,1,1,0,0,Managers,-5,5,1
5125816,F,Y,N,No children,450000,Higher education,Married,House / apartment,-19783,-5521,1,1,1,0,Managers,-34,2,1
5093286,M,N,Y,No children,157500,Secondary / secondary special,Married,House / apartment,-17576,-1216,1,0,0,0,Laborers,-1,5,1
5021314,M,N,Y,No children,270000,Secondary / secondary special,Single / not married,House / apartment,-16896,-248,1,0,0,0,Laborers,-23,5,1
5079016,M,Y,Y,2+ children,900000,Higher education,Married,House / apartment,-9889,-1000,1,0,0,0,Managers,-44,2,1
5142362,M,Y,Y,1 children,112500,Secondary / secondary special,Married,House / apartment,-16204,-925,1,1,1,0,Drivers,-20,5,1
5054387,M,Y,N,No children,292500,Higher education,Single / not married,House / apartment,-14050,-3680,1,1,1,0,Laborers,-13,2,1
5033514,F,Y,N,1 children,135000,Secondary / secondary special,Married,House / apartment,-15952,-384,1,1,0,0,Sales staff,-8,2,1
5117313,F,N,Y,1 children,157500,Secondary / secondary special,Married,House / apartment,-13022,-3931,1,1,1,0,Laborers,-29,5,1
5089162,F,Y,N,No children,225000,Higher education,Married,House / apartment,-20264,-2531,1,1,1,0,Accountants,-14,5,1
5046324,F,N,Y,1 children,157500,Secondary / secondary special,Single / not married,House / apartment,-15466,-2269,1,0,1,0,Low-skill Laborers,-13,5,1
5148934,M,Y,N,No children,108000,Secondary / secondary special,Married,Office apartment,-17209,-1081,1,0,0,0,Security staff,-12,4,1
5126463,F,Y,N,No children,112500,Secondary / secondary special,Separated,House / apartment,-17641,-10454,1,1,1,0,Medicine staff,-13,5,1
5105741,F,N,Y,2+ children,292500,Secondary / secondary special,Married,House / apartment,-12368,-672,1,0,0,0,Core staff,-24,2,1
5142361,M,Y,Y,1 children,112500,Secondary / secondary special,Married,House / apartment,-16204,-925,1,1,1,0,Drivers,-4,5,1
5117313,F,N,Y,1 children,157500,Secondary / secondary special,Married,House / apartment,-13022,-3931,1,1,1,0,Laborers,-28,5,1
5036590,M,Y,Y,No children,292500,Higher education,Married,House / apartment,-21055,-808,1,0,0,0,Drivers,-1,5,1
